service,operation,status_code,error_code,error_message,is_implemented
acm,AddTagsToCertificate,400,ResourceNotFoundException,"Certificate with arn arn:jamlyl:acm:ap-south-1:4343006478019:NcCsxy/@shZo9/c.7nsY/1boLcc/Z2f8Of/cuD,56/9,_vMa/n52@U,/YOah_P/,8xGsS/DCrram/AdVZw9/MhWQ9P/+DlyQZ/JxVH19/SpPOqu/tLgx8y/LEL0wM/0IZ5zg/@mPKHU/4btunc/Xv=yte/B3W=fr/irF.cP/ODqXk-/k0T6Vj/KEgYL./zMHFdM/1C,uHy/8UchMs/_6V_S@/pZ@Sbf/tUPn8P/tMfuj3/Fx@vzL/CXrQgI/VJbR@Q/XGTpue/-yPKOc/l0HrV./DDm3jK/gu@dg8/FlBzgP/ZgePHJ/mQ1i-3/LHKar4/QBePGr/PwMgeb/6uJ6MX/PqAYVE/-91Gma/57bBH1/FZ5L2f/SVa.32/CIKA93/mudfWg/FUG6f,/snYnp./C1@Fl7/qQgXW_/ss5mMa/@rseZo/E,4.Aq/2oR,lQ/ZmW6mR/ykm1=N/fZ=oT./VqX_@@/FkEa9_/Ukyi1E/9tXh3M/+@6Mos/NfaQ,I/nGJ.Nc/,QA3G6/HN6Iq8/YHWdj0/@xui3s/gwsfnS/xk0.LE/ysgQ1d/Lc9AzU/g_3RfE/es4h_t/znwEhm/u+xqrW/,QiMKS/kOOX@M/01TZDT/BIiCZT/H00BZ3/-CMauO/Ma1YIs not found in account 000000000000",True
acm,DeleteCertificate,400,ResourceNotFoundException,Certificate with arn arn:rwgepu:acm:af-south-1:9307767216766:j=nqR0/Pe54Sb/oEbnvn/=tzHP1/.Obagk/xpbn-c/b9JkG1/fS+xu=/guAnc_/jWxYyO/K5ZNLQ not found in account 000000000000,True
acm,DescribeCertificate,400,ResourceNotFoundException,"Certificate with arn arn:vaaepa:acm:ap-southeast-4:8966782596505:GVnN4B/V_JcwQ/QNeTnl/l@4sA@/MOUWfR/QbhKoY/d_dQQx/bLhZcD/3kPc_f/LodN8t/SH24tB/+MpPrv/ShV0xB/9wzj,p/nh6bj5/2f8+vL/1KaJ77/R3I@Y3/3q0rK2/f=7afE/C5lf@G/2LKl6J/OdmBmL/ldnSHb/OUtMq8/OAHJ_H/h9v8YQ/KtUea+/oD+Ynp/JY4oJr/fragW8 not found in account 000000000000",True
acm,ExportCertificate,400,ResourceNotFoundException,"Certificate with arn arn:oetmjg:acm:sa-east-1:6999539254707:3klB17/9C+Yaj/E,3RZo/cqcvLz/RYxBI5/T5yM7Z/NfLpP3/TVz.qJ/V7ZFoj/4pCuG_/.tJ2@D/6Co=Yn/ZS9j.2/jnrJQv/smC5MO/7V3+RE/Jia.ai/qJvm+r/hoC-LQ/xfZZn3/+k8K4h not found in account 000000000000",True
acm,GetAccountConfiguration,501,InternalFailure,API action 'GetAccountConfiguration' for service 'acm' not yet implemented or pro feature - check https://docs.localstack.cloud/user-guide/aws/feature-coverage for further information,False
acm,GetCertificate,400,ResourceNotFoundException,"Certificate with arn arn:nlaitr:acm:me-south-1:9383471019133:qQa=tv/M,GAZ@/djqTnh/F-HDKb/sqwaOe/1Fytee/CWA78p/p8.-ZZ/lmvii8/,DFKQc/M-y7DV/lOmFwT/IoNrqU/-oX4rH/_MWyXi/HYF4NR/DQuPVl/bM8w=6/r15arx/JFHfhV/xPhiG+/SRsGcU/8H0EhD/I1duIp/pBVNz@/aP414=/sw40WQ/U+ET7R/AZII_r/t+goA6/0x79=6/Keqovf not found in account 000000000000",True
acm,ImportCertificate,400,ResourceNotFoundException,"Certificate with arn arn:pyeehu:acm:eu-central-1:9880060208323:_Ys=Zl/kjdu1K/LNI5,D/BtPm-0/3R-tNA/WWU_zT/7NY,X4/um8WlZ/X6OuO=/6Z0pLh/@jDYFQ/M90A-L/Y_AnWN/-8o0wh/t4NN9l/R+9Bn,/H=71C3/D_E5sG/MT8PjB/pEO+NC/amLLrD/xwpXAZ/1pOY2G/dphiti/ASK2EW/92lB8Z/+K.4bA/5xCdL@/erAzTC/FlyIgg/JcXm-M/UdsrLI/_dJuhR/IjSfG6/+Hoglp/QjY24_/N.oE3@/WeYPHV/EBL6=p/4+HdKv/G8pCKt/k._bAu/_FVzPh/8x4qFq/ISxshX/F_DfF4/l++Phc/bF9iJK/SMqPx7/OAA33Y/cOSQh5/W_VT,g/Qmyk7s/st5=Jl/xNC17N/7G3Mj+ not found in account 000000000000",True
acm,ListCertificates,200,,,True
acm,ListTagsForCertificate,400,ResourceNotFoundException,Certificate with arn arn:qtkghp:acm:eu-north-1:8229649325233:+soyAN/LjoCs1/3-a1.C/6Ruyaq/DW34a7/-yO@If/HXqq=2/Nanpnd/.0Z_Fn/B=cuG8/F_SwYX/rQspRF/gfIwvH/bjm83y/VS3hAn/nFU@Wr/WRsQfV/QPSvri/@qHLq4/C3=a+a/paOHo_/TR.vHJ/bweU_./spYDIe/hy=v92/ff-U3t/oSyIyB/bR4Vro/-QkXZ+/38kEDl/o0aLwe/1q5aG1/UzEkt=/YLScOz/hB.VjA/rl96TB/NC+.nW/kFOEqC/_KGgGp/uwSNdc/2bvjyh/GH@W8Q/=ZbXWE/PpuO4J/nsm0Z4/n0dhWl/.l_Cnj/Bg3Jv3/vHs6.k/DOCKzk/2GLo9D/E_wA3-/357w2U/bqAcZz/xXYlc_/S0yffy/tueeeb/djQAfp not found in account 000000000000,True
acm,PutAccountConfiguration,501,InternalFailure,API action 'PutAccountConfiguration' for service 'acm' not yet implemented or pro feature - check https://docs.localstack.cloud/user-guide/aws/feature-coverage for further information,False
