service,implemented_count,full_count,percentage
acm,11,15,73.3
apigateway,102,120,85.0
cloudformation,28,66,42.4
cloudwatch,19,38,50.0
config,32,92,34.8
dynamodb,31,53,58.5
dynamodbstreams,4,4,100.0
ec2,229,589,38.9
es,12,50,24.0
events,40,56,71.4
firehose,10,12,83.3
iam,129,158,81.6
kinesis,29,29,100.0
kms,39,50,78.0
lambda,45,65,69.2
logs,28,48,58.3
opensearch,12,50,24.0
redshift,30,119,25.2
resource-groups,9,18,50.0
resourcegroupstaggingapi,3,8,37.5
route53,29,70,41.4
route53resolver,48,63,76.2
s3,97,97,100.0
s3control,12,61,19.7
secretsmanager,18,22,81.8
ses,36,71,50.7
sns,34,42,81.0
sqs,20,20,100.0
ssm,28,138,20.3
stepfunctions,26,26,100.0
sts,6,8,75.0
support,5,14,35.7
swf,30,37,81.1
transcribe,16,39,41.0
