service,operation,status_code,error_code,error_message,is_implemented
acm,AddTagsToCertificate,400,ResourceNotFoundException,"Certificate with arn arn:cupans:acm:me-south-1:4736802846510:CsuG5./YqTVd1/x1GRlD/z8_@bi/QOeXV=/_dCo21/RbRAMe/JQ6820/muJ8Ix/If8Npk/M-wj4i/Kc-rLo/FhfBk,/Wm@0Wg/LMc1eO/mL,aYd/ed@Xj./t+ZHow/lwXtMR/_+1Zfx/KhfYZ0/tU9M@E/66+v_4/Br0vX./Bdryjk/.S5qcN/0uMSEK/4lixhL/L702MT/rMF.b_/Emx=qE/cNpM=v/@PceuS/0ToH_b/tUCY8-/@hhYN2/NT5z1W/z.MhB2/rRawkr/R-I6+S/pw0,8v/7N+IGq/U6Zzbq/e=XmfH/VywooZ/nW8@2U/3fa6QT/PDrHge/TaFGVk/mujLqi/ydIrw8/f.P0Ez/fO.zWF/8uGp99/=WEn+m/,teqZ-/4vncfK/@mULnV/vm.jqn/ARb=sf/Q7y4v0/vdkyy8/kP@UPy/@hvZ.r/XvL31h/R,F2Xj/a899T5/OoGbu@/9=63rj/=gQR5I/n=Ts=s/19_tY0/_GxHVI/+-BVP1/Gh@yZW/mB0p=P/z91=mg/f0hB1B/2rbOPW/G9+9Yz/SHTqF9/o.u82Y/MtDkbU/22T1,U not found in account 000000000000",True
acm,DeleteCertificate,400,ResourceNotFoundException,"Certificate with arn arn:nprdcq:acm:eu-west-1:2048951409844:RZbl0g/cwJ8rT/vQUOMu/jkYKx4/b7xJCi/Kc=Xew/9nthAu/3doH_,/r4bR+b/olQ4Go/4pmqCx/W3RBem/XwMEfi/pNFZM=/S+Dk+2/afZycl/_sDpR9/+XNx6Y/Nq=Co0/HhxqPu/mQ_G=a/XyRhX3/xwNYDb/VNk3_Y/hvFhLX/kwJvbC/Cc_eQp/NWjhUT/i_MK14/Jm95oT/USArkF/tUQ+FR/eK.Iw5/WNh0ba/X34_B_/LSMeg@/sr09RS/@1P@57/dXgLHU/cy9Sh4/bpyjbz/JD79s-/=b5rIl/5JLT3Z/.MS5Mf/Dy7hDZ/K2gx_a/4cYyoY/ap7@1b/DGA-jh/6rAoWz/2CWVIS/BIPZI5/tNUCA,/YRWRKj/FLABLW/fvltd9/bDDKQ,/8Ulx_+/YYS+ap/r4n7O5/.SPYwr/YMDHZJ/Mvrudn/gN52gG/FGU-fm/okx_O7/X-BZ8./t_nYfo/7-aXE_/LmrljT/mmU.fv/hj2J_v/,lBxgV/NppKzk/u6g__C/k-nG,b/DRW-,d/QUJFmT/ZnCLR6/f571xb/d1LGX8/kgkPni/He2QK0/u8zGJ4/7=d7ok/cXbjhf not found in account 000000000000",True
acm,DescribeCertificate,400,ResourceNotFoundException,"Certificate with arn arn:dgegbr:acm:ap-northeast-3:1965699116098:c,s=IQ not found in account 000000000000",True
acm,ExportCertificate,400,ResourceNotFoundException,"Certificate with arn arn:plcwnb:acm:eu-central-2:8332852559141:62=RY1/CPv8WD/R,y4qK/FZu,n2/wf41MI/mvvj,D/nsataN/zA6m@j/7BH0Sg/sjqU6s/iEN,BY/ZPOdCM/lBq4si/esMnn8/H6SN0T/_A3Bxd not found in account 000000000000",True
acm,GetAccountConfiguration,501,InternalFailure,API action 'GetAccountConfiguration' for service 'acm' not yet implemented or pro feature - check https://docs.localstack.cloud/user-guide/aws/feature-coverage for further information,False
acm,GetCertificate,400,ResourceNotFoundException,"Certificate with arn arn:aswftg:acm:eu-south-2:6230253594613:YOINYb/SvORhV/-B8ULq/yfW0F3/jhPnLP/fvoNzO/upcwA@/WbkRi0/R.Z2o_/pa6i65/r=npFa/BMyfnX/IwiYW4/FrNkJH/1m,TPL/APf_p3/zva.ut/S9tyTP/_U7b6x/q7nRnk/6o+zfA/VG@XY7/G1_9Yp/geo6mG/nfk+cy/g2ji7./-seb=4 not found in account 000000000000",True
acm,ImportCertificate,400,ResourceNotFoundException,"Certificate with arn arn:aymyhg:acm:us-west-1:5319328647473:W.uiBd/43gAS_/Cdo4=z/D2wpB2/g=Expm/xUfnyX/6@f+Xd/IiGZ13/KjV6s8/UoIUC+/XeqnXf/mfVj2b/Bm3XaP/icJ9Wb/pKaf46/FQy,Sz/-6V7@Q/bTW,FM/mUnvTT/,LqqBr/BxtZy3/9B6Y_-/hVit_B/cBt+Bl/uN+r24/v+jxfW/DTo+5G/Sb3jR,/BcZKBV/0te2RS/nH9nJH/V3w+7Z/uh,l5D/UixSxs/e@9GX6/v2uJ1y/g@I21D/lktvH5/K9VLFk/q2ZDbN/e.1rNG/Ggi4b8/5kT3dE/-ByL.n/3NacY=/2C3E@s/WSkHvz/PiW@rx/.8MmqJ/ZMMu-m/4jt_ef/TCBDiA/9Con1y/hIgCLe/zgq_xc/38PJIy/@WcPoY/r26S73/knzZbE/RFzsSs/T.9AGu/It1HSC/6-NNY9/@ZZss=/zT@vx8/bch3-s/DX,OFn/xYFojB/dX.6+Q/-x_rfr/42++Pl/xANvB6 not found in account 000000000000",True
acm,ListCertificates,200,,,True
acm,ListTagsForCertificate,400,ResourceNotFoundException,"Certificate with arn arn:lvauwu:acm:us-east-1:8742653017640:y-iamT/ArAw_3/.3KQhb/5uybQl/Wvq=sf/CWLwgw/rWtR9K/za1ww_/7QQTNC/KmjWkg/Mw7t5s/ToKAZZ/-jFLZs/1pEJZu/OGywS3/Ms.VDB/WEdCto/u4fT57/sKWedg/cmZoQF/V4YMfB/NfcNn0/It9Tps/rMWjzZ/3VAQXi/Z2C_7C/QaFfGh/xzsoAi/xY0Oam/6u5cml/BLr8@o/U=doC9/DW-eK=/hnjBn9/ukXKth/Oo.ItP/4K0hUz/GmYYCa/2tW6wR/lbHl.F/pUiHOZ/knJuM0/C-v9lj/JtERcW/voL.Q7/SxPs+T/+kPu8_/7,-zQC/_xTnwN/g-X0eM/nGNmac/kF,7cd/BrFB,R/7bj,Wv/mdKg39/NbakrD/hdbFqB/4i0xYO/jP.ANL/7Zt=lo/7lJkHf/cyPTML/oaXeHc/oR9buV/@V@@vH/w3G6oP/X28lFk/nvnmMo/.ximUs/I_pob@/zrV3UO/VSilcF/5GuZQ4/pYEvAS/DR=Hkx/QNvkc7/H6M.xe/p=Mwkw/J2Sn62/_Qv_ue/Wn26+w/yGnglo not found in account 000000000000",True
acm,PutAccountConfiguration,501,InternalFailure,API action 'PutAccountConfiguration' for service 'acm' not yet implemented or pro feature - check https://docs.localstack.cloud/user-guide/aws/feature-coverage for further information,False
